step,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,combined_pct,ram_avail_mb,cached_mb,elapsed_s
0,14372,64213,23,16383,0.1786,49841,10474,0.0
1,15888,64213,23,16383,0.1974,48325,10470,2.6
2,16912,64213,23,16383,0.2101,47301,10472,5.1
3,18313,64213,23,16383,0.2275,45900,10469,7.6
4,19441,64213,23,16383,0.2415,44772,10470,10.2
5,20197,64213,23,16383,0.2509,44016,10471,12.7
6,21538,64213,23,16383,0.2675,42675,10471,15.2
7,22562,64213,23,16383,0.2802,41651,10471,17.6
8,23482,64213,23,16383,0.2916,40731,10470,20.1
9,24476,64213,23,16383,0.3040,39737,10470,22.6
10,25890,64213,23,16383,0.3215,38323,10470,25.1
11,27029,64213,23,16383,0.3356,37184,10469,27.6
12,27533,64213,23,16383,0.3419,36680,10469,30.0
13,28588,64213,23,16383,0.3550,35625,10469,32.5
14,29524,64213,23,16383,0.3666,34689,10467,35.0
15,30535,64213,23,16383,0.3792,33678,10469,37.5
16,31505,64213,23,16383,0.3912,32708,10469,40.0
17,32513,64213,23,16383,0.4037,31700,10468,42.4
18,33476,64213,23,16383,0.4156,30737,10470,44.9
19,34419,64213,23,16383,0.4273,29794,10468,47.4
20,35431,64213,23,16383,0.4399,28782,10466,49.9
21,36021,64213,23,16383,0.4472,28192,10464,52.5
22,36974,64213,23,16383,0.4590,27239,10464,55.1
23,38860,64213,23,16383,0.4824,25353,10466,57.7
24,38760,64213,104,16383,0.4822,25453,10435,60.4
25,40206,64213,130,16383,0.5005,24007,10413,62.9
26,41050,64213,186,16383,0.5116,23163,10362,65.5
27,42002,64213,270,16383,0.5245,22211,10298,68.1
28,42716,64213,308,16383,0.5338,21497,10229,70.6
29,43637,64213,373,16383,0.5461,20576,10103,73.2
30,44500,64213,418,16383,0.5573,19713,10054,75.7
31,45932,64213,453,16383,0.5755,18281,10016,78.3
32,46958,64213,481,16383,0.5886,17255,9996,80.8
33,47273,64213,780,16383,0.5962,16940,9985,83.5
34,47975,64213,1305,16383,0.6114,16238,9943,86.1
35,48334,64213,1687,16383,0.6206,15879,9848,88.8
36,48959,64213,2091,16383,0.6334,15254,9849,91.5
37,49640,64213,2409,16383,0.6458,14573,9839,94.2
38,50306,64213,2760,16383,0.6584,13907,9834,96.9
39,50768,64213,3337,16383,0.6713,13445,9701,99.7
40,51696,64213,3744,16383,0.6879,12517,9655,102.4
41,51728,64213,4615,16383,0.6991,12485,9497,105.6
42,51593,64213,5557,16383,0.7091,12620,9385,108.9
43,51672,64213,6571,16383,0.7227,12541,9301,112.0
44,52540,64213,6872,16383,0.7372,11673,8955,114.7
45,52727,64213,7546,16383,0.7478,11486,8786,117.8
46,52514,64213,8766,16383,0.7603,11699,8706,121.1
47,53101,64213,9585,16383,0.7778,11112,8670,124.2
48,52531,64213,11028,16383,0.7886,11682,8647,127.6
49,52367,64213,12044,16383,0.7992,11846,8615,131.2
50,52446,64213,12978,16383,0.8118,11767,8615,134.6
51,52846,64213,14046,16383,0.8300,11367,8615,138.4
52,52460,64213,15121,16383,0.8385,11753,8617,142.1
53,53125,64213,15758,16383,0.8547,11088,8612,145.5
54,53627,64213,16370,16383,0.8685,10586,6427,149.8
55,54314,64213,16383,16383,0.8772,9899,1048,152.4
56,55752,64213,16380,16383,0.8950,8461,1049,155.0
57,56877,64213,16379,16383,0.9089,7336,1049,157.4
58,57900,64213,16377,16383,0.9216,6313,1055,159.9
59,58942,64213,16372,16383,0.9345,5271,1057,162.4
60,59971,64213,16370,16383,0.9472,4242,1055,164.9
61,60983,64213,16364,16383,0.9597,3230,1055,167.4
